community_id,size,miembros_principales
0,1196,"AL-SHABAAB, Russian National Reinsurance Company JSC, Ansar al-Sharia Benghazi, YAZID SUFAAT, MIZBAN KHADR HADI..."
2,1099,"ASSOCIATION ""HIDROSTROITEL"", CONSTRUCCIONES DE OBRAS CIVILES S.A. DE C.V., MR. TANG CHI ANH, HEBEI CONSTRUCTION GROUP CORPORATION LIMITED JIAOZHOU BRANCH, Construtora Coesa S.A. - Sucursal Perú..."
1,906,"BM PROEKT, OOO, Miroslav KVOCKA, OJSC ACHINSK REFINERY, HANGZHOU HIKVISION DIGITAL TECHNOLOGY CO., LTD., GPB INVEST OOO..."
5,838,"Mzee Amigo, Dmitri Yuryevich TIKHONOV, Amir RADFAR, JOSE SANCHEZ MONROY, Norezai..."
4,551,"APRODEME ASOCIACIÓN PROFESIONAL DE DESARROLLO MERCANTIL, S.C., ALVAREZ MORAN JANET, SINDICATO NACIONAL REVOLUCIONARIO DE TRABAJADORES TRANSPORTISTAS EN GENERAL SIMILARES Y CONEXOS DE LA REPUBLICA MEXICANA DELEGACION HIDALGO, ALVICZA COMERCIAL, S.A. DE C.V., ASESORES Y EMPRESARIOS SAUSURA, S. DE R.L. DE C.V...."
3,368,"TABIQUERA SAN LORENZO SA, MARKPRICE SA DE CV, DIOPE SA DE CV, DRAGO SEGURIDAD PRIVADA SA DE CV, GRUPO ALMACENADOR MEXICANO SA DE CV..."
6,1,Engineer Naser RASTKHAH
7,1,CHUL WON KIM
8,1,SUSANA MANTEROLA PIÑA
9,1,REDWOOD TECHNICAL SOLUTIONS INC
